Model;Variable;Period;HR;LB;UP;Significance
Oncology Phase II;Enrollment;3500 - (1990-2020);0,03;0,02;0,04;1
Oncology Phase II;Drug Class: NME;3500 - (1990-2020);1,03;0,93;1,15;0
Oncology Phase II;Drug Class: Non NME;3500 - (1990-2020);1,44;1,14;1,81;1
Oncology Phase II;Biological: Yes;3500 - (1990-2020);0,69;0,6;0,79;1
Oncology Phase II;Intervention Model: Single Group Assignment;3500 - (1990-2020);1,19;0,9;1,58;0
Oncology Phase II;Intervention Model: Parallel Assigment;3500 - (1990-2020);1,56;1,18;2,08;1
Oncology Phase II;Lead Agency: Other;3500 - (1990-2020);0,49;0,44;0,56;1
Oncology Phase II;Lead Agency: NIH;3500 - (1990-2020);0,52;0,43;0,63;1
Oncology Phase II;Enrollment;1825 - (1990-2020);0,08;0,05;0,12;1
Oncology Phase II;Drug Class: NME;1825 - (1990-2020);0,97;0,85;1,1;0
Oncology Phase II;Drug Class: Non NME;1825 - (1990-2020);1,33;1,03;1,71;1
Oncology Phase II;Biological: Yes;1825 - (1990-2020);0,82;0,68;0,98;1
Oncology Phase II;Intervention Model: Single Group Assignment;1825 - (1990-2020);0,86;0,6;1,22;0
Oncology Phase II;Intervention Model: Parallel Assigment;1825 - (1990-2020);0,99;0,69;1,42;0
Oncology Phase II;Lead Agency: Other;1825 - (1990-2020);0,56;0,48;0,66;1
Oncology Phase II;Lead Agency: NIH;1825 - (1990-2020);0,56;0,43;0,73;1
Oncology Phase II;Enrollment;3500 - (1990-2010);0,05;0,03;0,1;1
Oncology Phase II;Drug Class: NME;3500 - (1990-2010);1,03;0,87;1,21;0
Oncology Phase II;Drug Class: Non NME;3500 - (1990-2010);1,3;0,92;1,85;0
Oncology Phase II;Biological: Yes;3500 - (1990-2010);0,72;0,58;0,9;1
Oncology Phase II;Intervention Model: Single Group Assignment;3500 - (1990-2010);1,85;1,07;3,19;1
Oncology Phase II;Intervention Model: Parallel Assigment;3500 - (1990-2010);2,58;1,49;4,47;1
Oncology Phase II;Lead Agency: Other;3500 - (1990-2010);0,51;0,42;0,61;1
Oncology Phase II;Lead Agency: NIH;3500 - (1990-2010);0,57;0,45;0,74;1
Oncology Phase II;Enrollment;3500 - (2010-2020);0,03;0,02;0,05;1
Oncology Phase II;Drug Class: NME;3500 - (2010-2020);1,07;0,93;1,22;0
Oncology Phase II;Drug Class: Non NME;3500 - (2010-2020);1,79;1,31;2,44;1
Oncology Phase II;Biological: Yes;3500 - (2010-2020);0,66;0,54;0,8;1
Oncology Phase II;Intervention Model: Single Group Assignment;3500 - (2010-2020);1,04;0,74;1,44;0
Oncology Phase II;Intervention Model: Parallel Assigment;3500 - (2010-2020);1,21;0,87;1,68;0
Oncology Phase II;Lead Agency: Other;3500 - (2010-2020);0,49;0,42;0,58;1
Oncology Phase II;Lead Agency: NIH;3500 - (2010-2020);0,6;0,44;0,82;1
Oncology Phase II;Enrollment;1825 - (1990-2010);0,08;0,04;0,18;1
Oncology Phase II;Drug Class: NME;1825 - (1990-2010);0,89;0,71;1,11;0
Oncology Phase II;Drug Class: Non NME;1825 - (1990-2010);1,05;0,7;1,58;0
Oncology Phase II;Biological: Yes;1825 - (1990-2010);0,74;0,54;1;0
Oncology Phase II;Intervention Model: Single Group Assignment;1825 - (1990-2010);1,06;0,47;2,4;0
Oncology Phase II;Intervention Model: Parallel Assigment;1825 - (1990-2010);1,5;0,66;3,4;0
Oncology Phase II;Lead Agency: Other;1825 - (1990-2010);0,63;0,48;0,81;1
Oncology Phase II;Lead Agency: NIH;1825 - (1990-2010);0,61;0,42;0,89;1
Oncology Phase II;Enrollment;1825 - (2010-2020);0,09;0,05;0,16;1
Oncology Phase II;Drug Class: NME;1825 - (2010-2020);1,03;0,88;1,21;0
Oncology Phase II;Drug Class: Non NME;1825 - (2010-2020);1,64;1,19;2,27;1
Oncology Phase II;Biological: Yes;1825 - (2010-2020);0,85;0,67;1,07;0
Oncology Phase II;Intervention Model: Single Group Assignment;1825 - (2010-2020);0,87;0,58;1,29;0
