"","nct_id","phase","enrollment","number_of_arms","has_dmc","Drug_Class","allocation","intervention_model","primary_purpose","masking","subject_masked","caregiver_masked","investigator_masked","outcomes_assessor_masked","Experimental","Control","Other","n_countries","lead_agency","n_collaborator","us_international","intervention_type","Disease_Group","duration","Therapy","Pivotal","SPA","Orphan","Breakthrough","RMAT","QIDP","Fast_Track","n_primary_endpoint","n_secondary_endpoint"
"1","NCT04308668","Phase 3",7.1770187659099,"Less than or equal to three","True","Non-NME","Randomized","Parallel Assignment","Treatment","Triple or quadruple","TRUE","TRUE","TRUE","TRUE","0","0","0",0.693147180559945,"Other",1.38629436111989,"Both","Drug","Infectious Disease",64,"Monotherapy","N","N","No","No","No","No","No","1-3","1-2"
"2","NCT04292899","Phase 3",8.49515206053936,"More than three","True","NME","Randomized","Parallel Assignment","Treatment","None","FALSE","FALSE","FALSE","FALSE","1","0","0",2.70805020110221,"Industry",0,"Both","Drug","Infectious Disease",116,"Combination","N","N","Yes","No","No","No","No","1-3","1-2"
"3","NCT04292730","Phase 3",7.01481435127554,"More than three","True","NME","Randomized","Parallel Assignment","Treatment","None","FALSE","FALSE","FALSE","FALSE","1","0","0",2.77258872223978,"Industry",0,"Both","Drug","Infectious Disease",103,"Combination","N","N","Yes","No","No","No","No","1-3","1-2"
"4","NCT04280705","Phase 3",6.96790920180188,"Less than or equal to three","False","NME","Randomized","Parallel Assignment","Treatment","Double","TRUE","FALSE","TRUE","FALSE","0","0","0",2.30258509299405,"NIH",0,"Both","Drug","Infectious Disease",90,"Monotherapy","N","N","Yes","No","No","No","No","1-3","1-2"
"5","NCT04204603","Phase 2",4.80402104473326,"More than three","False","NME","Randomized","Parallel Assignment","Treatment","Double","TRUE","FALSE","TRUE","FALSE","1","0","0",1.6094379124341,"Industry",0,"International only","Drug","Autoimmune/immunology",333,"Monotherapy","N","N","No","No","No","No","No","1-3","1-2"
"6","NCT04192617","Phase 2",5.04985600724954,"Less than or equal to three","False","Biologic","Randomized","Parallel Assignment","Treatment","Triple or quadruple","TRUE","TRUE","TRUE","TRUE","1","0","0",0,"Industry",0,"International only","Drug","Autoimmune/immunology",399,"Monotherapy","N","N","No","No","No","No","No","1-3","1-2"
"7","NCT04172233","Phase 2",4.56434819146784,"More than three","False","Biologic","Randomized","Parallel Assignment","Treatment","Double","TRUE","FALSE","TRUE","FALSE","1","1","0",0,"Industry",0.693147180559945,"International only","Biological","Autoimmune/immunology",660,"Monotherapy","N","N","No","No","No","No","No","1-3","1-2"
"8","NCT04152083","Phase 3",6.18414889093748,"Less than or equal to three","False","Biologic","Randomized","Parallel Assignment","Treatment","Triple or quadruple","TRUE","TRUE","TRUE","TRUE","0","0","0",0.693147180559945,"Industry",0.693147180559945,"Both","Biological","Neurology",247,"Monotherapy","N","N","No","No","No","No","No","1-3","1-2"
"9","NCT04138498","Phase 2",3.80666248977032,"More than three","False","Non-NME","Randomized","Crossover Assignment","Treatment","Triple or quadruple","TRUE","FALSE","TRUE","TRUE","1","0","0",0,"Industry",0,"U.S.A. only","Drug","Psychiatry",91,"Monotherapy","N","N","No","No","No","No","No","1-3","1-2"
"10","NCT04106778","Phase 2",5.19849703126583,"Less than or equal to three","False","Biologic","Randomized","Parallel Assignment","Treatment","Triple or quadruple","TRUE","TRUE","TRUE","TRUE","1","0","0",0,"Industry",0,"U.S.A. only","Drug","Dermatology",207,"Monotherapy","N","N","No","No","No","No","No","1-3","1-2"
